TeamId,TeamName,SubmissionDate,Score
366691,jeffd23,"2016-09-03 00:26:54",1.35684
366691,jeffd23,"2016-09-03 02:53:46",0.69309
366708,"Andrey Ostapets","2016-09-03 12:30:08",0.12416
366925,"D'ya like dags?","2016-09-03 15:24:45",0.69314
366708,"Andrey Ostapets","2016-09-03 15:52:52",0.10689
366691,jeffd23,"2016-09-04 00:03:10",0.40056
366691,jeffd23,"2016-09-04 01:34:59",0.34458
367321,anokas,"2016-09-04 15:17:47",0.13807
367419,NickShargan,"2016-09-04 20:31:03",1.20305
367419,NickShargan,"2016-09-04 20:59:51",1.04409
367321,anokas,"2016-09-04 22:00:43",0.07085
367321,anokas,"2016-09-05 06:45:33",0.06320
367710,"Daniel Huckins","2016-09-05 15:29:23",15.16407
367802,"Nick Styles","2016-09-06 00:11:40",9.49965
367802,"Nick Styles","2016-09-06 19:21:17",8.83927
367710,"Daniel Huckins","2016-09-07 11:35:42",15.11710
368495,"Bojan Tunguz","2016-09-07 12:19:09",0.69666
368500,"Chris Cross","2016-09-07 13:44:58",1.42371
368624,tequiller,"2016-09-07 18:40:44",0.66586
368495,"Bojan Tunguz","2016-09-07 20:46:29",0.64202
367802,"Nick Styles","2016-09-07 23:31:53",0.69314
368495,"Bojan Tunguz","2016-09-08 00:22:29",0.32445
368738,"Rongcheng Lin","2016-09-08 02:36:58",0.18392
368738,"Rongcheng Lin","2016-09-08 02:38:47",0.07803
368768,"Lenik Terenin","2016-09-08 04:48:48",0.13248
368773,surya,"2016-09-08 05:12:31",14.32140
368850,xiaobai,"2016-09-08 11:14:58",3.37931
368850,xiaobai,"2016-09-08 11:22:45",1.03064
368654,ludwigj,"2016-09-08 11:23:30",7.81238
368850,xiaobai,"2016-09-08 11:57:55",0.28658
368850,xiaobai,"2016-09-08 12:18:42",0.23715
368654,ludwigj,"2016-09-08 13:34:57",1.10180
368654,ludwigj,"2016-09-08 14:06:17",0.38613
368738,"Rongcheng Lin","2016-09-08 14:13:07",0.06254
368495,"Bojan Tunguz","2016-09-08 18:31:08",0.09012
368965,"Nguyen Son Tung","2016-09-08 19:27:00",2.03366
368738,"Rongcheng Lin","2016-09-09 01:05:24",0.06082
369167,МихаилМаксимов,"2016-09-09 06:53:38",17.40778
369178,jeremie_db,"2016-09-09 07:33:39",2.29001
369178,jeremie_db,"2016-09-09 08:43:25",0.42163
368768,"Lenik Terenin","2016-09-09 09:07:12",0.12948
368965,"Nguyen Son Tung","2016-09-09 09:34:13",0.74049
368965,"Nguyen Son Tung","2016-09-09 10:08:51",0.49052
368495,"Bojan Tunguz","2016-09-09 11:40:55",0.07851
369167,МихаилМаксимов,"2016-09-09 20:01:39",2.03184
369591,dnth90,"2016-09-10 08:45:47",6.16176
368495,"Bojan Tunguz","2016-09-10 10:55:15",0.07521
369665,"Tomasz Bartczak","2016-09-10 14:47:07",2.59184
369665,"Tomasz Bartczak","2016-09-10 16:58:43",0.47743
369703,Calefacto,"2016-09-10 17:05:37",0.62793
366708,"Andrey Ostapets","2016-09-10 19:43:55",0.08462
366708,"Andrey Ostapets","2016-09-10 19:45:07",0.08100
366708,"Andrey Ostapets","2016-09-11 00:30:30",0.06231
366708,"Andrey Ostapets","2016-09-11 00:31:42",0.05515
368850,xiaobai,"2016-09-11 03:30:38",0.23263
369703,Calefacto,"2016-09-11 08:38:12",0.46107
369591,dnth90,"2016-09-11 08:54:02",0.31033
366708,"Andrey Ostapets","2016-09-11 13:21:40",0.05366
366708,"Andrey Ostapets","2016-09-11 15:02:30",0.05339
366708,"Andrey Ostapets","2016-09-11 15:43:24",0.05241
368950,"Dave Jansing","2016-09-11 17:38:33",0.65071
369178,jeremie_db,"2016-09-11 18:27:42",0.33466
370152,"Jianmin Sun","2016-09-11 22:50:20",0.07453
368495,"Bojan Tunguz","2016-09-12 00:45:45",0.07516
368768,"Lenik Terenin","2016-09-12 02:43:01",0.11792
368768,"Lenik Terenin","2016-09-12 06:50:24",0.11370
369591,dnth90,"2016-09-12 09:06:44",0.25961
368624,tequiller,"2016-09-12 20:36:07",0.60814
368495,"Bojan Tunguz","2016-09-13 00:03:02",0.06440
368495,"Bojan Tunguz","2016-09-13 00:03:43",0.06426
368495,"Bojan Tunguz","2016-09-13 00:16:21",0.06403
368768,"Lenik Terenin","2016-09-13 01:01:53",0.11299
369178,jeremie_db,"2016-09-13 02:46:30",0.29804
369591,dnth90,"2016-09-13 03:26:23",0.22358
368624,tequiller,"2016-09-13 09:02:36",0.55819
370819,Joey,"2016-09-13 10:41:48",17.03906
370819,Joey,"2016-09-13 11:26:49",0.93353
368495,"Bojan Tunguz","2016-09-13 11:48:01",0.06155
369703,Calefacto,"2016-09-13 17:51:56",0.43282
368950,"Dave Jansing","2016-09-13 18:15:49",0.51082
370943,"Max i","2016-09-13 18:28:30",0.30755
370943,"Max i","2016-09-13 19:07:35",0.30755
368768,"Lenik Terenin","2016-09-13 23:58:13",0.11197
368495,"Bojan Tunguz","2016-09-14 01:41:16",0.06136
368624,tequiller,"2016-09-14 07:32:49",0.49425
368624,tequiller,"2016-09-14 13:51:35",0.47556
368495,"Bojan Tunguz","2016-09-14 14:51:47",0.06124
368495,"Bojan Tunguz","2016-09-14 15:32:09",0.05898
371363,ArnaudDelaunay,"2016-09-14 18:40:12",3.48356
368414,"Alexander S.","2016-09-14 19:18:03",0.82549
371364,"Dmitry Zolotukhin","2016-09-14 22:27:08",0.69314
371470,"Alec Karfonta","2016-09-14 23:14:58",0.04737
368495,"Bojan Tunguz","2016-09-15 00:03:51",0.05782
368414,"Alexander S.","2016-09-15 08:07:26",0.35182
371651,yugandharchodagam,"2016-09-15 10:47:57",1.06104
368495,"Bojan Tunguz","2016-09-15 12:22:08",0.05625
368495,"Bojan Tunguz","2016-09-15 12:23:58",0.05607
368495,"Bojan Tunguz","2016-09-15 12:26:08",0.05603
371363,ArnaudDelaunay,"2016-09-15 12:38:30",1.80155
371363,ArnaudDelaunay,"2016-09-15 12:47:07",0.20576
371363,ArnaudDelaunay,"2016-09-15 13:16:29",0.19192
371725,mlhengin,"2016-09-15 13:42:38",4.12255
371725,mlhengin,"2016-09-15 13:58:29",0.11690
371725,mlhengin,"2016-09-15 14:09:31",0.11485
368624,tequiller,"2016-09-15 18:26:01",0.46207
368624,tequiller,"2016-09-15 20:01:11",0.43122
371363,ArnaudDelaunay,"2016-09-16 11:25:36",0.12746
372148,ZengqiangYan,"2016-09-16 11:54:32",1.19367
371363,ArnaudDelaunay,"2016-09-16 12:59:37",0.09796
372171,"Abhimanyu Dikshit","2016-09-16 13:28:43",3.82793
372171,"Abhimanyu Dikshit","2016-09-16 14:09:29",0.65670
372178,GuilhermeNascimento,"2016-09-16 14:13:20",0.53328
372171,"Abhimanyu Dikshit","2016-09-16 14:13:42",0.53704
372148,ZengqiangYan,"2016-09-16 14:19:56",0.19084
372148,ZengqiangYan,"2016-09-16 14:38:50",0.17371
372196,Allegro,"2016-09-16 15:34:55",9.40847
372178,GuilhermeNascimento,"2016-09-16 15:35:30",0.11048
372178,GuilhermeNascimento,"2016-09-16 16:49:44",0.11041
372196,Allegro,"2016-09-16 17:49:34",7.20627
372171,"Abhimanyu Dikshit","2016-09-16 18:16:17",0.27718
368495,"Bojan Tunguz","2016-09-16 18:18:03",0.05602
368495,"Bojan Tunguz","2016-09-16 18:45:53",0.05560
370943,"Max i","2016-09-16 19:03:32",0.29666
372445,"Vijay Dwivedi","2016-09-17 15:22:35",17.21696
372456,sourish,"2016-09-17 16:09:18",0.69317
372478,algoai,"2016-09-17 17:55:57",0.69314
372516,"Nguyen Khanh","2016-09-17 20:47:02",1.21138
372584,pbreithaupt,"2016-09-17 23:42:01",0.93902
372196,Allegro,"2016-09-18 04:41:09",0.66562
